Num_Test,ID_user,Ville,Input,Technologie_Reseau,Date_Performance,Moment du ping,server_name,Latence,Jitter,PacketsLoss,Throuput,IP_source,IP_destination,Port_source,Port_destination,MOS
3,aaaaazz,PARIS,Midi et audio-card,Wifi,2024-11-15 17:49:42.429149,2024-11-15 17:49:45.915767,Andre's UK Sound,14.426666666666668,1.4566666666666663,0.0,16342.639014714749,10.68.252.10,139.162.251.38,63838,22124,1.0
6,TOM2,PARIS,Midi,Wifi,2024-11-18 17:12:55.158308,2024-11-18 17:12:58.613443,Andre's UK Sound,11.659999999999998,0.30166666666666647,0.0,19908.07123577815,10.4.250.37,139.162.251.38,60841,22124,3.0
11,TOM3,PARIS,Midi,Wifi,2024-11-18 17:14:11.372663,2024-11-18 17:14:14.801893,Andre's UK Sound,11.786363636363637,0.3899999999999999,0.0,19731.916098086447,10.4.250.37,139.162.251.38,52766,22124,4.0
