Num_Test,ID_user,Ville,Input,Technologie_Reseau,Output,Date_Performance,Moment du ping,Latence,Jitter,IP_source,server_name,IP_destination,Port_source,Port_destination,PacketsLoss,Throuput
1,AMOUR 3,PARIS,Midi,5G,Without headphones,2024-11-08 15:57:16.319432,2024-11-08 15:57:21.290764,94.26,0,192.168.229.241,Directory Server,62.113.204.104,54396,22124,0.0,2461.2773180564395
2,AMOUR 3,PARIS,Midi,5G,Without headphones,2024-11-08 15:57:16.319432,2024-11-08 15:57:23.213574,99.59,5.329999999999998,192.168.229.241,Directory Server,62.113.204.104,49220,22124,0.0,2329.5511597549953
3,AMOUR 3,PARIS,Midi,5G,Without headphones,2024-11-08 15:57:16.319432,2024-11-08 15:57:25.371944,100.22,0.6299999999999955,192.168.229.241,Directory Server,62.113.204.104,63133,22124,0.0,2314.907204150868
4,AMOUR 3,PARIS,Midi,5G,Without headphones,2024-11-08 15:57:16.319432,2024-11-08 15:57:27.769725,174.4,74.18,192.168.229.241,Directory Server,62.113.204.104,63134,22124,0.0,1330.275229357798
5,AMOUR 3,PARIS,Midi,5G,Without headphones,2024-11-08 15:57:16.319432,2024-11-08 15:57:31.292421,99.68,74.72,192.168.229.241,Directory Server,62.113.204.104,64591,22124,0.0,2327.4478330658103
6,AMOUR 3,PARIS,Midi,5G,Without headphones,2024-11-08 15:57:16.319432,2024-11-08 15:57:33.450926,129.69,30.00999999999999,192.168.229.241,Directory Server,62.113.204.104,52769,22124,0.0,1788.8811781941554
7,AMOUR 3,PARIS,Midi,5G,Without headphones,2024-11-08 15:57:16.319432,2024-11-08 15:57:37.807055,119.32,10.370000000000005,192.168.229.241,Directory Server,62.113.204.104,56481,22124,0.0,1944.3513241702985
